TOP.5bbb65a5.000c1fd9	START
TOP.5bbb6719.0008da87	user_options->segment_size	33554432
TOP.5bbb6719.0008da87	user_options->self_test_disable	0
TOP.5bbb6719.0008da87	user_options->show	0
TOP.5bbb6719.0008da87	user_options->speed_only	0
TOP.5bbb6719.0008da87	user_options->status	0
TOP.5bbb6719.0008da87	user_options->status_timer	10
TOP.5bbb6719.0008da87	user_options->stdout_flag	0
TOP.5bbb6719.0008da87	user_options->usage	0
TOP.5bbb6719.0008da87	user_options->username	0
TOP.5bbb6719.0008da87	user_options->veracrypt_pim	0
TOP.5bbb6719.0008da87	user_options->version	0
TOP.5bbb6719.0008da87	user_options->workload_profile	2
TOP.5bbb6719.0008da87	hashes->hashfile	..\..\..\target\raw\hashes-only.txt
TOP.5bbb6719.0008da87	hashes->hashlist_mode	4
TOP.5bbb6719.0008da87	hashes->hashlist_format	0
TOP.5bbb6719.0008da87	hashes->hashes_cnt	0
TOP.5bbb6719.0008da87	hashes->digests_cnt	196
TOP.5bbb6719.0008da87	hashes->digests_done	0
TOP.5bbb6719.0008da87	hashes->salts_cnt	196
TOP.5bbb6719.0008da87	hashes->salts_done	0
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	START
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	mask_ctx->mask	?d
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	runtime_start	1539008286
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	runtime_stop	1539008294
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	status-after-work	9
TOP.5bbb6719.0008da87	SUB.5bbb671e.0004e8b5	STOP
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	START
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	mask_ctx->mask	?d?d
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	runtime_start	1539008294
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	runtime_stop	1539008442
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	status-after-work	5
TOP.5bbb6719.0008da87	SUB.5bbb6726.00051377	STOP
TOP.5bbb6719.0008da87	SUB.5bbb67ba.000b319d	START
TOP.5bbb6719.0008da87	SUB.5bbb67ba.000b319d	mask_ctx->mask	?l
TOP.5bbb6a21.000b839b	START
TOP.5bbb6a21.000b839b	user_options->separator	:
TOP.5bbb6a21.000b839b	user_options->encoding_from	utf-8
TOP.5bbb6a21.000b839b	user_options->encoding_to	utf-8
TOP.5bbb6a21.000b839b	user_options->rule_buf_l	:
TOP.5bbb6a21.000b839b	user_options->rule_buf_r	:
TOP.5bbb6a21.000b839b	user_options->session	hashcat
TOP.5bbb6a21.000b839b	user_options->limit	0
TOP.5bbb6a21.000b839b	user_options->skip	0
TOP.5bbb6a21.000b839b	user_options->attack_mode	0
TOP.5bbb6a21.000b839b	user_options->benchmark	0
TOP.5bbb6a21.000b839b	user_options->benchmark_all	0
TOP.5bbb6a21.000b839b	user_options->bitmap_max	24
TOP.5bbb6a21.000b839b	user_options->bitmap_min	16
TOP.5bbb6a21.000b839b	user_options->debug_mode	0
TOP.5bbb6a21.000b839b	user_options->example_hashes	0
TOP.5bbb6a21.000b839b	user_options->force	0
TOP.5bbb6a21.000b839b	user_options->gpu_temp_abort	90
TOP.5bbb6a21.000b839b	user_options->gpu_temp_disable	0
TOP.5bbb6a21.000b839b	user_options->hash_mode	1800
TOP.5bbb6a21.000b839b	user_options->hex_charset	0
TOP.5bbb6a21.000b839b	user_options->hex_salt	0
TOP.5bbb6a21.000b839b	user_options->hex_wordlist	0
TOP.5bbb6a21.000b839b	user_options->increment	0
TOP.5bbb6a21.000b839b	user_options->increment_max	256
TOP.5bbb6a21.000b839b	user_options->increment_min	1
TOP.5bbb6a21.000b839b	user_options->keep_guessing	0
TOP.5bbb6a21.000b839b	user_options->kernel_accel	0
TOP.5bbb6a21.000b839b	user_options->kernel_loops	0
TOP.5bbb6a21.000b839b	user_options->keyspace	0
TOP.5bbb6a21.000b839b	user_options->left	0
TOP.5bbb6a21.000b839b	user_options->logfile_disable	0
TOP.5bbb6a21.000b839b	user_options->loopback	0
TOP.5bbb6a21.000b839b	user_options->machine_readable	0
TOP.5bbb6a21.000b839b	user_options->markov_classic	0
TOP.5bbb6a21.000b839b	user_options->markov_disable	0
TOP.5bbb6a21.000b839b	user_options->markov_threshold	256
TOP.5bbb6a21.000b839b	user_options->nvidia_spin_damp	100
TOP.5bbb6a21.000b839b	user_options->opencl_info	0
TOP.5bbb6a21.000b839b	user_options->opencl_vector_width	0
TOP.5bbb6a21.000b839b	user_options->optimized_kernel_enable	1
TOP.5bbb6a21.000b839b	user_options->outfile_autohex	1
TOP.5bbb6a21.000b839b	user_options->outfile_check_timer	5
TOP.5bbb6a21.000b839b	user_options->outfile_format	3
TOP.5bbb6a21.000b839b	user_options->wordlist_autohex_disable	0
TOP.5bbb6a21.000b839b	user_options->potfile_disable	0
TOP.5bbb6a21.000b839b	user_options->progress_only	0
TOP.5bbb6a21.000b839b	user_options->quiet	0
TOP.5bbb6a21.000b839b	user_options->remove	0
TOP.5bbb6a21.000b839b	user_options->remove_timer	60
TOP.5bbb6a21.000b839b	user_options->restore	0
TOP.5bbb6a21.000b839b	user_options->restore_disable	0
TOP.5bbb6a21.000b839b	user_options->restore_timer	60
TOP.5bbb6a21.000b839b	user_options->rp_files_cnt	0
TOP.5bbb6a21.000b839b	user_options->rp_gen	0
TOP.5bbb6a21.000b839b	user_options->rp_gen_func_max	4
TOP.5bbb6a21.000b839b	user_options->rp_gen_func_min	1
TOP.5bbb6a21.000b839b	user_options->rp_gen_seed	0
TOP.5bbb6a21.000b839b	user_options->runtime	0
TOP.5bbb6a21.000b839b	user_options->scrypt_tmto	0
TOP.5bbb6a21.000b839b	user_options->segment_size	33554432
TOP.5bbb6a21.000b839b	user_options->self_test_disable	0
TOP.5bbb6a21.000b839b	user_options->show	0
TOP.5bbb6a21.000b839b	user_options->speed_only	0
TOP.5bbb6a21.000b839b	user_options->status	0
TOP.5bbb6a21.000b839b	user_options->status_timer	10
TOP.5bbb6a21.000b839b	user_options->stdout_flag	0
TOP.5bbb6a21.000b839b	user_options->usage	0
TOP.5bbb6a21.000b839b	user_options->username	0
TOP.5bbb6a21.000b839b	user_options->veracrypt_pim	0
TOP.5bbb6a21.000b839b	user_options->version	0
TOP.5bbb6a21.000b839b	user_options->workload_profile	2
TOP.5bbb6a21.000b839b	proc_start	1539009057
TOP.5bbb6a21.000b839b	proc_stop	1539009058
TOP.5bbb6a21.000b839b	STOP
TOP.5bbb6a74.000e3526	START
TOP.5bbb6a74.000e3526	user_options->separator	:
TOP.5bbb6a74.000e3526	user_options->encoding_from	utf-8
TOP.5bbb6a74.000e3526	user_options->encoding_to	utf-8
TOP.5bbb6a74.000e3526	user_options->rule_buf_l	:
TOP.5bbb6a74.000e3526	user_options->rule_buf_r	:
TOP.5bbb6a74.000e3526	user_options->session	hashcat
TOP.5bbb6a74.000e3526	user_options->limit	0
TOP.5bbb6a74.000e3526	user_options->skip	0
TOP.5bbb6a74.000e3526	user_options->attack_mode	0
TOP.5bbb6a74.000e3526	user_options->benchmark	0
TOP.5bbb6a74.000e3526	user_options->benchmark_all	0
TOP.5bbb6a74.000e3526	user_options->bitmap_max	24
TOP.5bbb6a74.000e3526	user_options->bitmap_min	16
TOP.5bbb6a74.000e3526	user_options->debug_mode	0
TOP.5bbb6a74.000e3526	user_options->example_hashes	0
TOP.5bbb6a74.000e3526	user_options->force	0
TOP.5bbb6a74.000e3526	user_options->gpu_temp_abort	90
TOP.5bbb6a74.000e3526	user_options->gpu_temp_disable	0
TOP.5bbb6a74.000e3526	user_options->hash_mode	1800
TOP.5bbb6a74.000e3526	user_options->hex_charset	0
TOP.5bbb6a74.000e3526	user_options->hex_salt	0
TOP.5bbb6a74.000e3526	user_options->hex_wordlist	0
TOP.5bbb6a74.000e3526	user_options->increment	0
TOP.5bbb6a74.000e3526	user_options->increment_max	256
TOP.5bbb6a74.000e3526	user_options->increment_min	1
TOP.5bbb6a74.000e3526	user_options->keep_guessing	0
TOP.5bbb6a74.000e3526	user_options->kernel_accel	0
TOP.5bbb6a74.000e3526	user_options->kernel_loops	0
TOP.5bbb6a74.000e3526	user_options->keyspace	0
TOP.5bbb6a74.000e3526	user_options->left	0
TOP.5bbb6a74.000e3526	user_options->logfile_disable	0
TOP.5bbb6a74.000e3526	user_options->loopback	0
TOP.5bbb6a74.000e3526	user_options->machine_readable	0
TOP.5bbb6a74.000e3526	user_options->markov_classic	0
TOP.5bbb6a74.000e3526	user_options->markov_disable	0
TOP.5bbb6a74.000e3526	user_options->markov_threshold	256
TOP.5bbb6a74.000e3526	user_options->nvidia_spin_damp	100
TOP.5bbb6a74.000e3526	user_options->opencl_info	0
TOP.5bbb6a74.000e3526	user_options->opencl_vector_width	0
TOP.5bbb6a74.000e3526	user_options->optimized_kernel_enable	1
TOP.5bbb6a74.000e3526	user_options->outfile_autohex	1
TOP.5bbb6a74.000e3526	user_options->outfile_check_timer	5
TOP.5bbb6a74.000e3526	user_options->outfile_format	3
TOP.5bbb6a74.000e3526	user_options->wordlist_autohex_disable	0
TOP.5bbb6a74.000e3526	user_options->potfile_disable	0
TOP.5bbb6a74.000e3526	user_options->progress_only	0
TOP.5bbb6a74.000e3526	user_options->quiet	0
TOP.5bbb6a74.000e3526	user_options->remove	0
TOP.5bbb6a74.000e3526	user_options->remove_timer	60
TOP.5bbb6a74.000e3526	user_options->restore	0
TOP.5bbb6a74.000e3526	user_options->restore_disable	0
TOP.5bbb6a74.000e3526	user_options->restore_timer	60
TOP.5bbb6a74.000e3526	user_options->rp_files_cnt	0
TOP.5bbb6a74.000e3526	user_options->rp_gen	0
TOP.5bbb6a74.000e3526	user_options->rp_gen_func_max	4
TOP.5bbb6a74.000e3526	user_options->rp_gen_func_min	1
TOP.5bbb6a74.000e3526	user_options->rp_gen_seed	0
TOP.5bbb6a74.000e3526	user_options->runtime	0
TOP.5bbb6a74.000e3526	user_options->scrypt_tmto	0
TOP.5bbb6a74.000e3526	user_options->segment_size	33554432
TOP.5bbb6a74.000e3526	user_options->self_test_disable	0
TOP.5bbb6a74.000e3526	user_options->show	0
TOP.5bbb6a74.000e3526	user_options->speed_only	0
TOP.5bbb6a74.000e3526	user_options->status	0
TOP.5bbb6a74.000e3526	user_options->status_timer	10
TOP.5bbb6a74.000e3526	user_options->stdout_flag	0
TOP.5bbb6a74.000e3526	user_options->usage	0
TOP.5bbb6a74.000e3526	user_options->username	0
TOP.5bbb6a74.000e3526	user_options->veracrypt_pim	0
TOP.5bbb6a74.000e3526	user_options->version	0
TOP.5bbb6a74.000e3526	user_options->workload_profile	2
TOP.5bbb6a74.000e3526	proc_start	1539009140
TOP.5bbb6a74.000e3526	proc_stop	1539009141
TOP.5bbb6a74.000e3526	STOP
TOP.5bbb6a94.0003b1c1	START
TOP.5bbb6a94.0003b1c1	user_options->separator	:
TOP.5bbb6a94.0003b1c1	user_options->encoding_from	utf-8
TOP.5bbb6a94.0003b1c1	user_options->encoding_to	utf-8
TOP.5bbb6a94.0003b1c1	user_options->rule_buf_l	:
TOP.5bbb6a94.0003b1c1	user_options->rule_buf_r	:
TOP.5bbb6a94.0003b1c1	user_options->session	hashcat
TOP.5bbb6a94.0003b1c1	user_options->limit	0
TOP.5bbb6a94.0003b1c1	user_options->skip	0
TOP.5bbb6a94.0003b1c1	user_options->attack_mode	0
TOP.5bbb6a94.0003b1c1	user_options->benchmark	0
TOP.5bbb6a94.0003b1c1	user_options->benchmark_all	0
TOP.5bbb6a94.0003b1c1	user_options->bitmap_max	24
TOP.5bbb6a94.0003b1c1	user_options->bitmap_min	16
TOP.5bbb6a94.0003b1c1	user_options->debug_mode	0
TOP.5bbb6a94.0003b1c1	user_options->example_hashes	0
TOP.5bbb6a94.0003b1c1	user_options->force	0
TOP.5bbb6a94.0003b1c1	user_options->gpu_temp_abort	90
TOP.5bbb6a94.0003b1c1	user_options->gpu_temp_disable	0
TOP.5bbb6a94.0003b1c1	user_options->hash_mode	1800
TOP.5bbb6a94.0003b1c1	user_options->hex_charset	0
TOP.5bbb6a94.0003b1c1	user_options->hex_salt	0
TOP.5bbb6a94.0003b1c1	user_options->hex_wordlist	0
TOP.5bbb6a94.0003b1c1	user_options->increment	0
TOP.5bbb6a94.0003b1c1	user_options->increment_max	256
TOP.5bbb6a94.0003b1c1	user_options->increment_min	1
TOP.5bbb6a94.0003b1c1	user_options->keep_guessing	0
TOP.5bbb6a94.0003b1c1	user_options->kernel_accel	0
TOP.5bbb6a94.0003b1c1	user_options->kernel_loops	0
TOP.5bbb6a94.0003b1c1	user_options->keyspace	0
TOP.5bbb6a94.0003b1c1	user_options->left	0
TOP.5bbb6a94.0003b1c1	user_options->logfile_disable	0
TOP.5bbb6a94.0003b1c1	user_options->loopback	0
TOP.5bbb6a94.0003b1c1	user_options->machine_readable	0
TOP.5bbb6a94.0003b1c1	user_options->markov_classic	0
TOP.5bbb6a94.0003b1c1	user_options->markov_disable	0
TOP.5bbb6a94.0003b1c1	user_options->markov_threshold	256
TOP.5bbb6a94.0003b1c1	user_options->nvidia_spin_damp	100
TOP.5bbb6a94.0003b1c1	user_options->opencl_info	0
TOP.5bbb6a94.0003b1c1	user_options->opencl_vector_width	0
